SLCAN,SLCAT,CONTEXT
Einstrahlfestigkeit,NST,"Elektrische Geräte werden so konstruiert, dass außerhalb bestimmter, gesetzlich vorgeschriebener Abstände keine Störung durch andere Geräte auftritt. Für medizinische Geräte ist nach der Norm DIN-EN 60601-1-2 eine elektromagnetische Verträglichkeit (Einstrahlfestigkeit) von 3 V/m vorgesehen, für lebenserhaltende Medizingeräte von 10 V/m. Der empfohlene Abstand zwischen einem Handy und einem nicht lebenserhaltenden Gerät sollte mindestens drei Meter betragen."
EMF,NST,Elektromagnetische Felder
Emission,NST,Im Bereich des Mobilfunks wird unter Emission die Aussendung von Funkwellen bzw. elektromagnetischen Feldern verstanden.
EMV-Gesetz,NST,Deutsches EMV-Gesetz über die elektromagnetische Verträglichkeit (Störfestigkeit) von technischen Geräten vom 18.09.1998
EMV-Richtlinien,NST,EU-Richtlinien zur elektromagnetischen Verträglichkeit technischer Geräte 89/336/EWG vom 03.05.1989
EMVU,NST,Elektromagnetische Umweltverträglichkeit.Analysiert und bewertet die Einflüsse elektromagnetischer Felder auf die Umwelt und den Menschen.
Enactus,NST,"Enactus (ehemals SIFE) ist eine der weltweit größten gemeinnützigen Studierendenorganisationen, die es sich zur Aufgabe gemacht hat, theoretisches Wissen aus der Universität in nachhaltige Praxisprojekte einzubringen. Die Telekom fördert dieses Netzwerk."
ERP,NST,"Enterprise Ressource Planning (engl.) - Unternehmensressourcenplanung.Bezeichnet die Aufgabe, die in einem Unternehmen vorhandenen Ressourcen wie Kapital, Betriebsmittel oder Personal möglichst effizient für den betrieblichen Ablauf einzusetzen und somit die Steuerung von Geschäftsprozessen zu optimieren."
Ethernet,NST,"Ethernet ist eine kabelgebundene Datennetztechnologie für lokale Datennetze (LANs). Sie ermöglicht den Datenaustausch zwischen allen in einem lokalen Netz angeschlossenen Geräten (Computer, Drucker, etc.). In seiner traditionellen Ausprägung erstreckt sich das LAN dabei nur über ein Gebäude. Ethernet-Technologie verbindet heute auch Geräte über weite Entfernungen."
EVU (Energieversorgungsunternehmen),NST,"Unter einem Energieversorgungsunternehmen (EVU) versteht man ein Unternehmen, das entweder elektrische Energie erzeugt und über das öffentliche Stromnetz verteilt oder die Versorgung mit Erdgas oder Wärme betreibt."
Exposition,NST,Das (beabsichtigte oder unbeabsichtigte) Ausgesetztsein eines Organismus oder seiner Teilstrukturen externen Einflüssen gegenüber (im Mobilfunk): elektromagnetischen Feldern.
Extranet,NST,"Extranets dienen der Bereitstellungen von Informationen, die zum Beispiel Unternehmen, Kunden oder Partnern zugänglich gemacht werden, nicht aber der Öffentlichkeit. Zur Sicherung der Verbindung können verschiedene Verschlüsselungsmethoden verwendet werden."
Feldstärke,NST,Maß für die Stärke des elektromagnetischen Feldes; wird in Volt pro Meter (elektrisches Feld) und in Ampere pro Meter (magnetisches Feld) gemessen.
FEMU-Datenbank,NST,EMF-Datenbank des deutschen Forschungszentrums für Elektro-Magnetische Umweltverträglichkeit (FEMU) der Rheinisch-Westfälischen Technischen Hochschule Aachen.
Flatrate,NST,"Zu deutsch: Pauschalgebühr.Eine nutzungsunabhängige Abrechnung von Telekommunikationsdiensten - insbesondere im Bereich Telefonie und Internet - mit einer z.B. monatlich erhobenen Pauschalgebühr, abhängig von einer vertraglich vereinbarten Leistung (z.B. Transferbandbreite, Datenvolumen). Das Überschreiten der vereinbarten ""Dienstleistungsmenge"" kostet extra."
Flexikum,NST,"Das Flexikum ist ein flexibles Praktikum, bei dem ein Stundenkontingent für die gesamte Praktikumsdauer festgelegt wird.Dieses Kontingent wird dann nach Absprache und individuellem Bedürfnis des Praktikanten absolviert. So wird es Studenten ermöglicht, auch während der Vorlesungszeit ein Praktikum anzutreten."
FMC,NST,"Fixed Mobile ConvergenceBeschreibt das Zusammenwachsen (Konvergenz) von Fest- und Mobilfunk-Tarifen bei Kunden, die sowohl einen Festnetz- als auch einen Mobilfunk-Vertrag bei der Deutschen Telekom haben."
Frauenquote,NST,Die Telekom führte als erstes Dax-30-Unternehmen eine Frauenquote ein.Bis Ende 2020 sollen dreißig Prozent der oberen und mittleren Führungspositionen im Unternehmen mit Frauen besetzt sein. Dadurch verspricht sich der Konzern langfristig eine höhere Wertschöpfung für das Unternehmen.
Freiwillige Selbstverpflichtung,NST,"Selbstverpflichtung der Netzbetreiber von 2001 gegenüber der Bundesregierung zur Umsetzung verschiedener Maßnahmen zur Verbesserung von Sicherheit und Verbraucher-, Umwelt- und Gesundheitsschutz."
Frequenz,NST,Maß für die zeitliche Veränderung elektromagnetischer Felder; wird in Schwingung pro Sekunde (Hz) gemessen.
Frequenzspektrum,NST,"Beschreibt die zur Verfügung stehende Frequenzbandbreite, die für die Übertragung von Daten genutzt wird. Im Allgemeinen gilt: Ein je größeres Spektrum genutzt wird, desto höher ist die erreichbare Datenrate, wenn die gleichen Übertragungstechnologien und -parameter verwendet werden."
FTTB (Fiber to the Building),NST,Als FTTB bezeichnet man in der Telekommunikation das Verlegen von Glasfaser-Kabeln bis ins Gebäude (Keller).
FTTC (Fiber to the Curb),NST,"Schlagwort für den flächendeckenden Ausbau des Glasfasernetzes. Bei FTTC endet die Glasfaser (Fiber) in den Verteilerkästen auf dem Bürgersteig (Curb). Die ""letzte Meile"" zu den einzelnen Haushalten wird weiterhin mit den vorhandenen Kupferkabeln bewältigt. Siehe auch Glasfaserkabel."
FTTH (Fiber to the Home),NST,Im Gegensatz zu FTTC bezeichnet Fiber to the Home den Ausbau des Glasfasernetzes (Fiber) bis zu jedem einzelnen Haushalt (Home). Siehe auch FTTC.
FTTX,NST,"Hierunter fallen die drei Glasfaser-Ausbaumöglichkeiten FTTB, FTTC sowie FTTH."
Funkzelle,NST,"Jede Basisstation versorgt nur ein eng begrenztes Gebiet, die Funkzelle. Die aneinandergrenzenden Funkzellen bilden eine flächendeckende Netzstruktur."
Gepulste Signalform,NST,Wird im D- und E-Netz verwendet.Hierbei werden die Sprach- und Datensignale in zeitlich gestaffelten Intervallen - den Zeitschlitzen - übertragen. Eine gepulste Welle wird in einem bestimmten Rhythmus an- und abgeschaltet.
GHG Protocol,NST,"Das GHG Protocol unterscheidet die Treibhausgas-Emissionen nach dem Grad der Beeinflussbarkeit durch das berichtende Unternehmen in die Kategorien „Scope 1“, „Scope 2“ und „Scope 3“:Scope 1 beinhaltet alle direkten Emissionen.Scope 2 deckt alle indirekten Emissionen ab, die z. B. bei der Erzeugung von Elektrizität, Dampf oder Wärmeenergie entstehen, die das Unternehmen von externer Seite bezieht.Scope 3 gilt für alle übrigen indirekten Emissionen im Bereich Logistik, ­Materialverbrauch, Ver- und Entsorgung. Dies schließt auch die bei Dienstleistungs- und Produktionsunternehmen sowie in deren Vorketten entstehenden Emissionen ein."
Gigabit,NST,Ein Gigabit ist eine Informationseinheit oder Einheit für Speicherplatz. 1 Gigabit entspricht 1.000.000.000 bits.
Glasfaser Anschlüsse,NST,"Gesamtzahl aller FTTX-Anschlüsse (z. B. FTTC/VDSL, ­Vectoring sowie FTTH)."
